url,id,title,label,high_label,repo,delay_days
https://www.github.com/LibreSign/libresign/commit/ceceea1b070bd48865a8a57638b3fae7de21175c,636,Bump follow-redirects from 1.14.7 to 1.14.8,others,Others,LibreSign/libresign,3.163622685185185
https://www.github.com/sockjs/sockjs-client/commit/9147612d2d10c62d376907f7511d5b06d03a579e,511,Bump https-proxy-agent from 2.2.2 to 2.2.4,groups:family,Grouping dependencies,sockjs/sockjs-client,2.6392361111111113
https://www.github.com/msys2/setup-msys2/commit/78bbf37344fb9d9ae79fe773aa79146b5f6c4281,89,Bump @actions/tool-cache from 1.6.0 to 1.6.1,others,Others,msys2/setup-msys2,0.7472916666666666
https://www.github.com/zazuko/trifid/commit/007e2014a4632c6a6fe2c2a50c9f893e9e801cc3,513,chore(deps): bump @fastify/cookie from 9.4.0 to 10.0.1,groups:family,Grouping dependencies,zazuko/trifid,13.824664351851853
https://www.github.com/eXist-db/xst/commit/5643b000a91796b67129e3bef408845efc8c1b19,25,build(deps): bump @existdb/node-exist from 5.0.0 to 5.0.1,bug fixes,Fix bugs,eXist-db/xst,125.73358796296296
https://www.github.com/msys2/setup-msys2/commit/4873e7c83bfacc639cefb1defd5ac78936811b2f,185,Bump @vercel/ncc from 0.33.0 to 0.33.1,others,Others,msys2/setup-msys2,0.018912037037037
https://www.github.com/homebridge-plugins/homebridge-meross/commit/4a6feb89715436b45c56936fd3fdb0a37d31ffc5,487,Bump axios from 1.2.4 to 1.2.5,others,Others,homebridge-plugins/homebridge-meross,2.192858796296296
https://www.github.com/archiverjs/node-archiver/commit/22bf4cea2115bd416e7a654e829ccf41d5e355bc,633,Bump tar-stream from 2.2.0 to 3.0.0,bot:renovate,Upgraded by other bots,archiverjs/node-archiver,248.8478472222222
https://www.github.com/SAP/ui5-fs/commit/555533b285b40c3989a803a1bf41d7eff5e394c8,301,Bump eslint-plugin-jsdoc from 31.4.0 to 31.5.0,groups:family,Grouping dependencies,SAP/ui5-fs,1.1238657407407406
https://www.github.com/reconmap/web-client/commit/0acc4b925217f3d991ea11e0d325c3e29fb596fe,320,Bump @vitest/coverage-v8 from 0.33.0 to 0.34.1,groups,Grouping dependencies,reconmap/web-client,5.526041666666667
https://www.github.com/react-grid-layout/react-draggable/commit/5d48982fe4ec9c753a2cfd06c3f963be29d6da5b,571,build(deps): bump dns-packet from 1.3.1 to 1.3.4,groups,Grouping dependencies,react-grid-layout/react-draggable,90.88100694444444
https://www.github.com/mrhenry/core-web/commit/4c3d99a69028cdaf69f3e7315072c1dceb38b7f1,1155,Bump @babel/helper-module-imports from 7.16.7 to 7.18.6,groups:family,Grouping dependencies,mrhenry/core-web,4.766400462962963
